type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
003f3e6fc1634f4fc95c9a2e80bcf1fa,0.01094321,0.08713214,0.024683006,-0.026162636,0.105232075,0.17262878,-0.10804526,0.036444303,0.05387278,-0.09889928,0.07080122,0.06290687,0.035543866,-0.10750812,-0.0018027322,-0.056100253,-0.0035569996,0.023485733,-0.006990502,0.057133403,-0.12944919,-0.013282475,-0.043581758,-0.078127995,-0.076673925,-0.05732378,-0.095833465,0.00067707594,0.026919888,-0.052536268,-0.048687804,-0.02589104,0.00988664,-0.0037266847,-0.111001454,-0.04526925,-0.049930297,-0.07046955,0.007372516,-0.015033587,-0.00925715,-0.047468174,0.12772499,-0.03430194,-0.03856567,0.045496184,0.0459909,0.01726219,0.030999871,-0.10347964,0.028823528,0.034717534,0.038031798,-0.014819186,-0.0025386163,0.08371688,0.024992455,0.08705875,-0.029559756,0.17268935,0.13342853,0.05448201,-0.0370082,-0.08408907,-0.05961815,0.017103123,0.07517112,0.0879856,-0.054620788,0.023705928,-0.0538964,-0.026508579,-0.06322647,-0.055668563,-0.0079203835,-0.026984198,-0.0037078531,-0.08126077,0.019654533,-0.097116195,0.017577996,0.006829614,-0.004709767,-0.03494612,-0.030722205,0.09692667,-0.1414963,-0.0274874,0.040981196,0.07556596,0.00414259,-0.019277295,0.008295173,0.05369171,-0.056972343,0.048029087,-0.007367585,-0.024625678,0.13632527,-0.05277711,-0.11959095,-0.0019693624,0.05401846,0.030226849,-0.0070177955,0.06671064,-0.031635378,0.0538143,0.11538819,-0.01077685,-0.052156568,-0.07465138,-0.049871743,-0.010631863,-0.010406538,-0.10721734,-0.14974208,-0.046971627,0.12085001,-0.09509217,0.0036650323,0.023553248,-0.016235566,0.09833171,-0.15255192,-0.058026183,-0.041695785,-0.07134232
003f7e2a32d6132d74bd1eafc793b6c1,-0.21146315,-0.094498806,-0.11986431,0.13130724,0.047971174,0.016286686,-0.19270748,-0.08771288,-0.2322187,0.08161165,0.10197229,0.034095217,0.1790212,-0.044160992,0.0046022157,-0.19533338,0.1363807,0.3149167,-0.34207502,0.010866319,0.21554697,-0.08962362,0.029006142,-0.23371007,0.19371401,0.046314146,-0.16352712,-0.29621208,-0.07166962,-0.07453324,0.3511527,0.19022222,-0.11777759,0.110318944,0.028391944,-0.08580635,-0.05279169,-0.049328722,-0.14145194,0.26060522,0.003652126,-0.22017807,-0.07434711,-0.4367264,-0.030092398,-0.003189928,-0.066687,0.06587076,0.04538871,0.0648549,-0.209779,0.20290445,0.1801886,-0.41544527,-0.14070676,0.029342894,-0.1215021,0.2854205,-0.13731812,0.050799724,0.10562588,0.08157765,-0.016227478,0.114064366,-0.12915596,-0.1752552,0.1670609,0.22780542,0.13286714,-0.24352905,0.056981165,-0.15061875,-0.10150061,-0.37643793,-0.18320616,0.04593702,-0.04975055,0.10707067,-0.1374201,0.124725066,-0.11091447,-0.27456248,-0.27290085,-0.08548704,-0.03001926,-0.037502605,-0.02590016,0.11010606,0.10339393,-0.21369636,-0.16309905,0.22667891,-0.17727226,0.24625155,-0.19614995,0.18052635,0.22132993,0.12277019,0.12905286,0.26188946,-0.043749046,-0.19427694,-0.41409007,0.10489014,-0.2507996,-0.05971998,-0.079243354,0.1297846,0.02181126,0.20614502,0.0011395242,-0.030163527,-0.15207079,-0.21786,0.069649614,-0.32639843,-0.38920176,0.3900189,0.17561917,0.48979676,0.32727563,0.28261122,-0.36427093,0.31023714,0.0015861684,0.0054562264,0.037802745,0.1500954
004b3dc6622a2a9374f6c289faf52d92c014452076d83648adf8e09d9ac82512,-0.00552495,0.009694247,-0.024764976,0.025092548,0.07041587,0.03839894,-0.035117883,-0.02361141,-0.023446037,0.050278965,0.048865642,0.12278979,0.034642305,-0.08281124,-0.063311376,0.023575436,-0.010797213,0.050163854,-0.036211632,-0.01900877,-0.0062269866,0.02498315,-0.030603236,-0.105123624,-0.048420895,-0.04068128,-0.0122133875,-0.078426935,-0.031202972,0.04378972,0.023595203,0.011468115,-0.05504246,-0.014632433,-0.036256608,-0.10639332,-0.058358636,-0.015173461,0.029626848,0.09237197,0.012191306,-0.058169212,0.091445155,-0.07922884,-0.0467832,0.016543444,-0.043082245,0.050404605,0.0063641006,-0.037433084,-0.03652624,0.03445954,-0.031206377,-0.07388535,-0.016832799,-0.013664276,0.05504638,0.1268001,0.033687774,0.0071551893,0.054982178,0.042178176,0.009595165,0.068014465,-0.030928357,0.01381388,0.032479126,0.11509043,-0.0034212824,-0.032381367,0.0086319605,-0.010051378,-0.047999706,-0.14112955,-0.05183818,-0.009839316,-0.01941849,0.03260135,0.03944195,-0.019026183,0.004028103,-0.06001992,-0.09522827,-0.0847628,-0.025893614,0.06112161,-0.057836715,0.054338254,-0.0056807534,-0.037453715,-0.071528934,0.07836414,-0.03779258,0.06439953,-0.11805191,0.11470606,-0.00074773526,0.01857283,0.016513733,0.0008403089,-0.107349664,-0.016839115,-0.09119278,0.045597855,0.019629743,0.0774429,-0.0069349012,0.09688436,0.0041561113,0.03618259,-0.0136852255,-0.090514734,-0.07146567,-0.0035799355,-0.0001066766,-0.110521466,-0.09924252,0.037888788,0.14095066,0.043116108,0.06309762,0.051138386,-0.033406194,0.16009472,-0.056445822,0.0024007985,-0.03688031,-0.033634223
0064bd63e7337da6616b0d6adb03ca99,-0.09988916,0.058215067,0.055539798,0.03936859,0.11821604,-0.020715188,-0.09874726,-0.030857883,0.1295789,0.016129475,0.0055442834,0.049799606,-0.020896595,-0.09574826,-0.02181865,-0.13798025,-0.034122795,0.012534833,-0.0072028097,0.011982112,-0.08924503,0.10299876,-0.021504002,0.06482314,-0.1982604,-0.19046387,-0.16918589,0.15439239,0.10762087,-0.13863757,-0.10310638,-0.02136744,0.13258922,-0.007264506,-0.024391703,-0.19466019,0.09656484,-0.036943752,-0.07392466,0.033809513,0.13411877,-0.08352989,0.26425648,-0.0033323606,-0.050853774,-0.013805894,-0.068123505,0.037375126,-0.054309975,-0.035023216,0.022514394,-0.045861192,-0.016394243,-0.00065354066,0.020963471,0.21979554,-0.025705978,0.13438748,-0.04309659,0.07903186,0.08814133,0.06276426,-0.04888917,0.00021700002,-0.057264924,-0.05302357,-0.012298037,0.114731826,-0.059243817,-0.08560241,-0.13767408,0.13217887,-0.12055102,-0.040337462,0.021738864,-0.20079246,0.06692956,-0.0012003089,0.05192291,-0.07376419,0.04953978,-0.068026625,-0.018386878,-0.11942298,0.038779076,0.003971526,-0.06352579,0.019062968,0.1844996,0.18365394,-0.076856844,-0.007309093,0.02961273,0.13647807,-0.10666774,0.0066477815,-0.036070276,-0.02469761,0.12407894,0.022184754,-0.023949042,-0.05396678,-0.07294998,0.11898472,-0.03563435,0.079874374,0.0060941367,0.0966554,0.014724746,-0.023571316,-0.09472014,-0.09738291,-0.052936964,0.0402278,0.066366024,-0.07083026,-0.13509738,-0.062133294,0.050262887,-0.028922034,-0.09517768,0.13031255,-0.06153703,0.1511465,-0.05696335,-0.11308941,0.05913167,-0.19759715
009ed622bf936a036828fab19ceb69d78264ab51507396a3809bbe947ddd9ddf,0.018332632,0.019894887,-0.018079378,-0.002108864,0.056631543,0.048716504,-0.03784203,-0.022558862,-0.0010409065,0.040113904,0.06505535,0.103896335,0.040050756,-0.08108792,-0.0456179,0.057482667,-0.010651686,0.03275898,-0.030064601,-0.029873332,-0.024786254,0.038706724,-0.044077527,-0.120832026,-0.04759799,-0.043948535,-0.008927671,-0.07567232,-0.0390699,0.058000423,-0.010345212,0.0012924448,-0.04144252,-0.033302624,-0.036852732,-0.10773013,-0.05602568,-0.018584067,0.02577238,0.08329622,0.017920086,-0.06238683,0.09237832,-0.051241864,-0.057218935,0.019150835,-0.029848034,0.046744052,0.010436277,-0.023857895,-0.021205753,0.05153807,-0.032600187,-0.05549141,0.0009872107,-0.01632341,0.063474216,0.11351385,0.043639578,0.019261843,0.053116802,0.023331914,0.013037217,0.06004749,-0.034719925,0.0025754573,0.01994932,0.070793666,-0.01288058,-0.032500915,0.027560249,0.0022145044,-0.029327162,-0.12988858,-0.013201882,-0.0008874159,-0.01254199,0.024499252,0.038588405,-0.035935815,0.008538017,-0.055322073,-0.0736429,-0.076728225,-0.03149732,0.08090011,-0.06207434,0.043731168,-0.021676783,-0.008615067,-0.052082084,0.069954075,-0.029085185,0.07276656,-0.08892315,0.09530873,-0.025423113,0.016630536,0.01444277,0.0023491024,-0.11385055,-0.014699188,-0.06432398,0.038700096,0.029057642,0.069830425,0.013810897,0.111113645,0.009907079,0.02980296,-0.012725094,-0.095089905,-0.0638192,0.00932877,0.0019987857,-0.11015276,-0.09097392,0.010056239,0.14295065,0.009293055,0.043880492,0.047967486,-0.01631355,0.15890642,-0.06254133,-0.009880007,-0.050045628,-0.059668075
00bc7defa16eb3171966a8fb0e740750,0.012681688,0.0498304,-0.0024689115,0.005405459,0.08933581,0.12575656,-0.09095734,-0.00374171,0.019018114,-0.06111329,0.0825105,0.06599099,0.032015584,-0.08783443,-0.009273871,-0.04696941,0.0024272616,0.06014381,-0.03861918,0.025788717,-0.091741085,-0.006275727,-0.05189718,-0.087491676,-0.032045744,-0.052035026,-0.085394524,-0.047883205,0.007833534,-0.017432064,-0.015853785,-0.011093147,-0.028071837,-0.019409942,-0.08279619,-0.034858,-0.048811175,-0.07083753,0.011816412,0.01781409,-0.007938455,-0.055519767,0.110152565,-0.05120877,-0.030687366,0.025146605,0.023638342,0.009483415,0.040220287,-0.098302074,0.005875274,0.040019117,0.008460197,-0.054808985,-0.004699567,0.055616036,0.023150904,0.08373347,-0.018408975,0.1342691,0.11548459,0.06780486,-0.0063252584,-0.0508608,-0.046780996,-0.010739727,0.07493744,0.06007745,-0.04882817,-0.00354179,-0.044150103,-0.021043671,-0.047614813,-0.07930448,-0.024650477,-0.008620799,-0.02595668,-0.04422754,0.0023057947,-0.059877224,0.014522002,-0.0040595867,-0.030617053,-0.046399496,-0.008762354,0.097054794,-0.099255644,-0.029527348,0.028911756,0.04236146,-0.027472707,0.033489235,-0.02640907,0.060429685,-0.0589211,0.07160664,-0.0018947514,-0.009590961,0.117146194,-0.01949577,-0.113790415,-0.016646788,-0.003914024,0.026025238,-0.021728031,0.04883243,-0.01724259,0.06629556,0.0922988,0.017895393,-0.050076965,-0.06401934,-0.035793204,-0.0154017415,0.027871797,-0.115181744,-0.15035604,-0.024894819,0.09793795,-0.047990408,0.033826184,0.049560018,-0.033199273,0.12231825,-0.12428161,-0.037128497,-0.052547872,-0.051575225
00c7fd6908fc5a04ab47adc5c7829ca7,0.0793414,0.10874248,0.0066172546,-0.045902308,0.09176879,0.14969265,-0.1279238,-0.010682379,0.08641212,-0.10133525,0.073620744,0.04165742,0.0046957773,-0.1192267,0.027728016,0.004441736,-0.04059571,0.022924514,-0.009178808,0.013705318,-0.14625065,0.03749168,-0.0936965,-0.092139974,-0.058733456,-0.07905948,-0.11056786,-0.04701956,-0.033390243,0.015402612,-0.08903984,-0.04220618,-0.04882791,-0.040990412,-0.11542609,-0.017992722,-0.06417485,-0.10524765,0.02230978,0.008424955,-0.026204342,-0.04567066,0.125641,-0.0045807064,-0.041576955,0.023992686,0.058668975,-0.0019558943,0.028273009,-0.12397685,0.010751457,0.05227629,-0.008606967,-0.013804777,0.0310858,0.0762913,0.055914473,0.05525321,-0.0014688531,0.18495505,0.108411565,0.05207959,0.03499059,-0.08769755,-0.038234938,-0.018675765,0.047149114,-0.011177324,-0.100498304,0.020737415,-0.039254032,0.006773576,-0.051824357,-0.056690287,-0.013407427,0.021860864,-0.034657363,-0.09644199,0.026598377,-0.09166371,0.069323555,0.03885598,0.019666914,-0.056204543,0.0057358546,0.15680282,-0.1299437,-0.057531293,0.007522731,0.10197834,-0.018856477,0.059539918,-0.0067949975,0.020295747,-0.0493079,0.07337882,-0.017874928,-0.031193046,0.13250351,-0.046092506,-0.17137483,-0.026052454,0.05951512,0.015560885,0.015235216,0.042530447,0.028512452,0.0783354,0.12753029,-0.013111469,-0.041681103,-0.09255605,-0.04705104,-0.010461346,0.042409383,-0.09941825,-0.16736397,-0.11089173,0.1176181,-0.11232005,-0.0073079364,0.03940253,0.054517187,0.14228807,-0.15740569,-0.021893784,-0.10160697,-0.1126081
00d50962dce0b43d78a3a5e830255150,0.03322948,0.041591972,-0.006530419,-0.0040777656,0.09339038,0.10139252,-0.0893219,-0.028033799,0.018561682,-0.014341792,0.09688346,0.075709015,0.048732247,-0.11363709,-0.029546924,0.004912444,-0.01386556,0.058744393,-0.04934426,-0.017739067,-0.078675926,0.013749121,-0.06351851,-0.11447978,-0.04499304,-0.06432901,-0.08626304,-0.07295668,-0.011687053,0.030137682,-0.024558946,-0.009154905,-0.044488177,-0.041749053,-0.066386335,-0.07587057,-0.05481813,-0.0637837,0.010544702,0.055384398,0.0067327507,-0.07895968,0.115733646,-0.058407698,-0.044020355,0.034517724,0.020530205,0.0301702,0.04651589,-0.078098945,-0.0034007276,0.057836264,-0.006004549,-0.06076778,0.00033151824,0.038206324,0.055658653,0.110985644,0.0033517801,0.1088578,0.09668766,0.049367186,0.030755196,-0.010325565,-0.04741915,-0.022419881,0.04413503,0.05863166,-0.0577905,-0.03183403,-0.008854471,0.0028703767,-0.051080402,-0.14622207,-0.018517692,-0.015414462,-0.017908327,-0.01947556,0.013260761,-0.063775435,0.031661097,-0.032905933,-0.035807118,-0.07051659,-0.010675884,0.12733681,-0.110259935,-0.006848835,-0.0010432618,0.034343023,-0.049171247,0.063585505,-0.041333936,0.07712871,-0.07972645,0.0906881,-0.0074529313,-0.006259264,0.097574614,-0.0027552878,-0.14101449,-0.029032372,-0.049703144,0.037750226,0.0004926969,0.057655588,0.0031938641,0.12237947,0.07287582,0.022364391,-0.04278709,-0.10057728,-0.05688212,-0.011947892,0.031555004,-0.14598095,-0.18058522,-0.019579869,0.14841741,-0.03211801,0.044388533,0.062807195,-0.027668945,0.18954384,-0.11900577,-0.029668186,-0.06455521,-0.0636916
00f83a459e206283925ff0c2ac976d23,0.012014218,0.03616722,0.01014203,-0.011011994,0.081754714,0.06620977,-0.061037987,0.0016630042,0.035702877,-0.02415472,0.052764516,0.065833844,0.033251565,-0.08964778,-0.014564949,-0.011476511,-0.014984896,0.016024997,-0.032110218,0.0045219096,-0.052206315,0.017206265,-0.021531837,-0.06600651,-0.069111995,-0.05317734,-0.050709177,-0.015201106,0.010948003,0.0018943612,-0.030028312,-0.018163124,0.00039047073,-0.016207192,-0.055047233,-0.07735178,-0.030421272,-0.022767294,-0.015710356,0.024825053,0.013423799,-0.05004748,0.09210208,-0.032574568,-0.041260097,0.038199518,-0.00083847815,0.030076995,0.009209279,-0.04065085,0.0014676058,0.016449213,0.01373491,-0.010763102,-0.020606458,0.04439979,0.030238748,0.09151867,-0.0076966393,0.05606438,0.0656241,0.030070396,-0.009165449,-0.0015457588,-0.029951971,0.0060896827,0.027986512,0.06612892,-0.01701063,-0.025321342,-0.01281603,0.012484555,-0.04747271,-0.08643083,-0.0024623086,-0.022783577,0.015081601,-0.024242045,0.016583888,-0.0535798,0.022301737,-0.029752558,-0.03627464,-0.05102589,-0.026667431,0.058996797,-0.08785372,0.015856791,0.014033054,0.02880679,-0.029893702,0.007307724,-0.003968318,0.059208136,-0.07155185,0.047627762,-0.014815191,-0.0065810797,0.05364384,-0.014949809,-0.08642756,-0.026942408,-0.026284615,0.036001585,0.0024303463,0.051148172,-0.008292823,0.07811778,0.030088654,-0.0055432,-0.027308598,-0.090251885,-0.047430445,0.0017098841,-0.0035645305,-0.08238701,-0.10239465,-0.011704486,0.107233904,-0.021572543,0.0059567816,0.049361356,-0.034041204,0.116794646,-0.073247164,-0.04298731,-0.007672405,-0.04464469
014cd58f9fe4febcfc159ca9b2253c65,0.0058539663,0.020408642,-0.016407141,0.026445616,0.09095072,0.07965178,-0.09123508,-0.017766146,-0.008968799,0.007062489,0.067163266,0.102374084,0.044858918,-0.10470596,-0.049646545,-0.021862078,-0.014331116,0.05281645,-0.052382354,-0.011979852,-0.04582348,0.017788526,-0.05228921,-0.09993411,-0.052391082,-0.062429037,-0.06961329,-0.062682405,0.001385506,-0.0031149872,0.0016280327,0.012748596,-0.024917481,-0.01874366,-0.058299955,-0.09699488,-0.052327007,-0.054051742,-0.0065493346,0.06370892,0.007391447,-0.0932037,0.12943211,-0.07563631,-0.046984483,0.025457371,-0.010026311,0.048832655,0.033740744,-0.05861797,-0.0051607834,0.042713914,-0.010066436,-0.075755104,-0.020639382,0.041440636,0.02560773,0.13770716,-0.006039741,0.07841917,0.08081718,0.057629734,0.003946873,0.007196536,-0.04273341,0.0025448652,0.042737044,0.10441872,-0.02623392,-0.045956973,-0.02882596,0.0018417067,-0.07171345,-0.14238586,-0.02820909,-0.020647133,0.0015025861,-0.01152463,0.02636984,-0.05559132,0.034755047,-0.03949251,-0.06914345,-0.06455341,-0.010755659,0.087527364,-0.079977185,0.015491056,0.019934047,0.010702588,-0.0628771,0.05402981,-0.040048815,0.057109408,-0.108884886,0.099154174,-0.012492704,-0.001590087,0.07947733,-0.00315931,-0.115471326,-0.027190719,-0.075513616,0.04883072,-0.013518754,0.07342058,-0.019180913,0.10707051,0.04299733,0.023211852,-0.033035167,-0.10520408,-0.07424514,-0.00028193576,0.021509476,-0.1244935,-0.15856405,0.0046766032,0.15375444,0.013023644,0.049499955,0.075850524,-0.05823282,0.17850873,-0.10297804,-0.038147483,-0.027779803,-0.05141429
